motor_name,avg_voltage_v,prop,prop_model,throttle_pct,thrust_g,voltage_v,current_a,power_w,efficiency_gw,rpm
XING2 3110 900KV,30.8,7.0x4.0x3,,50.0,721.2,33.56,4.86,163.1,4.42,
XING2 3110 900KV,30.8,7.0x4.0x3,,60.0,1036.0,33.53,7.82,262.2,3.95,
XING2 3110 900KV,30.8,7.0x4.0x3,,70.0,1411.9,33.47,11.92,399.0,3.54,
XING2 3110 900KV,30.8,7.0x4.0x3,,80.0,1844.6,33.39,17.12,571.6,3.23,
XING2 3110 900KV,30.8,7.0x4.0x3,,90.0,2250.8,33.3,23.88,795.2,2.83,
XING2 3110 900KV,30.8,7.0x4.0x3,,100.0,2612.3,33.19,31.74,1053.5,2.48,
XING2 3110 900KV,30.8,8.0x4.0x3,,50.0,1302.9,33.51,9.05,303.3,4.3,
XING2 3110 900KV,30.8,8.0x4.0x3,,60.0,1780.0,33.43,14.72,492.1,3.62,
XING2 3110 900KV,30.8,8.0x4.0x3,,70.0,2317.1,33.33,21.68,722.6,3.21,
XING2 3110 900KV,30.8,8.0x4.0x3,,80.0,2970.5,33.21,30.4,1009.6,2.94,
XING2 3110 900KV,30.8,8.0x4.0x3,,90.0,3520.5,33.05,41.91,1385.1,2.54,
XING2 3110 900KV,30.8,8.0x4.0x3,,100.0,4013.8,32.88,52.79,1735.7,2.31,
XING2 3110 900KV,30.8,9.0x5.0x3,,50.0,1632.5,33.48,11.34,379.7,4.3,
XING2 3110 900KV,30.8,9.0x5.0x3,,60.0,2178.6,33.35,19.79,660.0,3.3,
XING2 3110 900KV,30.8,9.0x5.0x3,,70.0,2872.4,33.26,27.29,907.7,3.16,
XING2 3110 900KV,30.8,9.0x5.0x3,,80.0,3509.0,33.09,39.09,1293.5,2.71,
XING2 3110 900KV,30.8,9.0x5.0x3,,90.0,4044.7,32.92,50.99,1678.6,2.41,
XING2 3110 900KV,30.8,9.0x5.0x3,,100.0,4311.4,32.71,65.54,2143.8,2.01,
